week,day,distance_ft,throws,intensity,drill_or_note,day_total_throws,volume
Week 5,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 5,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 5,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 5,Day 2,90.0,10.0,0.75,,,
Week 5,Day 2,105.0,10.0,0.8,,,
Week 5,Day 2,50.0,15.0,0.8,"On the bump, move plate in to 50 feet ; groove fastball",58,2500
Week 5,Day 3,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 5,Day 3,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 5,Day 3,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 5,Day 3,90.0,5.0,0.75,,,
Week 5,Day 3,105.0,15.0,0.8,,,
Week 5,Day 3,120.0,15.0,0.85,,,
Week 5,Day 3,90.0,3.0,0.88,85-90% on a line,,
Week 5,Day 3,75.0,3.0,0.88,85-90% on a line,,
Week 5,Day 3,60.0,12.0,0.75,,74,4833
Week 5,WEEK TOTAL,,,,,,12049
Week 6,Day 1,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 6,Day 1,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 6,Day 1,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 6,Day 1,90.0,5.0,0.75,,,
Week 6,Day 1,105.0,10.0,0.8,,,
Week 6,Day 1,120.0,10.0,0.85,,,
Week 6,Day 1,105.0,3.0,1.0,pulldown,,
Week 6,Day 1,90.0,3.0,1.0,pulldown,,
Week 6,Day 1,60.0,10.0,0.75,,,
Week 6,Day 1,50.0,20.0,0.8,"On the bump, move plate in to 50 feet ; groove fastball",81,4763
Week 6,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 6,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 6,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 6,Day 2,90.0,8.0,0.75,,,
Week 6,Day 2,105.0,15.0,0.8,,46,2625
Week 6,Day 3,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 6,Day 3,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 6,Day 3,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 6,Day 3,90.0,8.0,0.75,,,1365
Week 6,Day 4,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 6,Day 4,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 6,Day 4,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 6,Day 4,90.0,5.0,0.75,,,
Week 6,Day 4,105.0,10.0,0.8,,,
Week 6,Day 4,120.0,10.0,0.85,,,
Week 6,Day 4,105.0,3.0,1.0,pulldown,,
Week 6,Day 4,90.0,3.0,1.0,pulldown,,
Week 6,Day 4,60.0,10.0,0.75,,,
Week 6,Day 4,50.0,20.0,0.8,"On the bump, move plate in to 50 feet ; groove fastball",,4763
Week 6,WEEK TOTAL,,,,,,13516
